,Iteration,Rewards,Time
0,1,[ 2.122 -0.971],1.4051048755645752
1,2,[ 2.9   -2.321],1.2908039093017578
2,3,[ 3.322 -0.593],1.3596718311309814
3,4,[ 2.859 -0.238],1.3084089756011963
4,5,[ 3.472 -0.239],1.3580820560455322
5,6,[ 3.462 -0.646],1.3553581237792969
6,7,[ 3.161 -0.19 ],1.3240749835968018
7,8,[ 2.935 -0.244],1.3383429050445557
8,9,[ 3.164 -0.182],1.4093759059906006
9,10,[ 3.037 -0.442],1.3326168060302734
10,11,[ 3.786 -0.208],1.839061975479126
11,12,[ 3.596 -0.098],1.736649990081787
12,13,[ 3.434 -0.277],1.3606462478637695
13,14,[ 3.223 -0.339],1.3851110935211182
14,15,[2.961 0.254],1.3663759231567383
15,16,[ 2.806 -0.131],1.3463919162750244
16,17,[ 2.805 -0.28 ],1.3491709232330322
17,18,[ 2.859 -0.755],1.366569995880127
18,19,[ 2.924 -1.123],1.3561608791351318
19,20,[ 2.835 -0.144],1.3537898063659668
20,21,[3.116 0.28 ],1.3861629962921143
21,22,[ 3.035 -0.395],1.3510000705718994
22,23,[ 2.929 -0.006],1.3604249954223633
23,24,[ 3.181 -0.069],1.3567559719085693
24,25,[ 3.399 -0.276],1.394836187362671
25,26,[ 2.778 -0.807],1.3595290184020996
26,27,[ 2.543 -0.245],1.3607029914855957
27,28,[ 2.976 -0.01 ],1.3565011024475098
28,29,[ 2.602 -0.134],1.3585560321807861
29,30,[ 2.446 -0.046],1.3699700832366943
30,31,[3.08  0.146],1.3760809898376465
31,32,[2.879 0.212],1.3545119762420654
32,33,[2.886 0.425],1.3739819526672363
33,34,[ 2.817 -0.229],1.3578510284423828
34,35,[2.959 0.2  ],1.358342170715332
35,36,[ 2.517 -0.086],1.3579838275909424
36,37,[2.955 0.276],1.377885341644287
37,38,[ 3.358 -1.181],1.3503077030181885
38,39,[ 2.952 -0.277],1.3579447269439697
39,40,[ 2.608 -0.596],1.3557629585266113
40,41,[ 3.282 -0.385],1.3540339469909668
41,42,[2.136 0.046],1.3497700691223145
42,43,[ 2.987 -0.495],1.3463749885559082
43,44,[ 3.103 -0.463],1.3640172481536865
44,45,[ 2.593 -0.185],1.3535010814666748
45,46,[2.585e+00 1.000e-03],1.3500189781188965
46,47,[3.191 0.046],1.350553035736084
47,48,[ 2.834 -0.03 ],1.3589279651641846
48,49,[2.663 0.242],1.3307569026947021
49,50,[2.832 0.153],1.3588380813598633
50,51,[ 2.699 -0.247],1.359504222869873
51,52,[ 2.706 -0.298],1.3669829368591309
52,53,[ 2.767 -0.148],1.356476068496704
53,54,[ 3.119 -0.529],1.3679399490356445
54,55,[ 2.613 -0.048],1.3516900539398193
55,56,[ 3.39  -0.288],1.3615097999572754
56,57,[ 2.804 -0.167],1.3435401916503906
57,58,[ 3.321 -0.822],1.3492941856384277
58,59,[3.087 0.129],1.378840684890747
59,60,[ 3.176 -0.037],1.3729150295257568
60,61,[3.135 0.017],1.362025260925293
