,Iteration,Rewards
0,1000,[ 3.139 -3.345]
1,2000,[ 3.735 -2.26 ]
2,3000,[ 3.442 -2.612]
3,4000,[ 2.958 -2.262]
4,5000,[ 2.256 -2.712]
5,6000,[ 1.697 -1.901]
6,7000,[ 3.257 -3.26 ]
7,8000,[ 3.2   -3.593]
8,9000,[ 2.718 -3.563]
9,10000,[ 2.755 -2.292]
10,11000,[ 2.976 -3.591]
11,12000,[ 3.522 -2.63 ]
12,13000,[ 3.231 -2.561]
13,14000,[ 2.744 -2.857]
14,15000,[ 4.118 -2.083]
15,16000,[ 2.53  -0.811]
16,17000,[ 2.903 -2.144]
17,18000,[ 4.315 -1.895]
18,19000,[ 2.288 -3.629]
19,20000,[ 2.923 -2.305]
20,21000,[ 3.579 -2.202]
21,22000,[ 3.046 -3.03 ]
22,23000,[ 3.554 -2.462]
23,24000,[ 3.371 -3.2  ]
24,25000,[ 3.163 -2.814]
25,26000,[ 2.865 -2.473]
26,27000,[ 3.331 -1.673]
27,28000,[ 3.562 -1.199]
28,29000,[ 5.016 -1.981]
29,30000,[ 3.406 -2.271]
30,31000,[ 3.987 -1.923]
31,32000,[ 1.857 -2.415]
32,33000,[ 4.28  -3.329]
33,34000,[ 3.737 -2.891]
34,35000,[ 3.188 -2.93 ]
35,36000,[ 3.609 -0.616]
36,37000,[ 5.896 -2.307]
37,38000,[ 4.732 -2.714]
38,39000,[ 3.748 -3.151]
39,40000,[ 2.459 -3.352]
40,41000,[ 6.064 -1.97 ]
41,42000,[ 5.239 -1.722]
42,43000,[2.015 0.527]
43,44000,[ 5.68 -2.42]
44,45000,[ 2.89  -3.037]
45,46000,[ 2.891 -2.436]
46,47000,[ 3.59  -2.004]
47,48000,[ 4.122 -3.103]
48,49000,[ 3.003 -2.435]
49,50000,[ 3.682 -3.991]
50,51000,[ 3.083 -2.52 ]
51,52000,[ 3.488 -2.584]
52,53000,[ 3.529 -2.803]
53,54000,[ 5.369 -0.768]
54,55000,[ 3.923 -2.224]
55,56000,[ 3.431 -3.496]
56,57000,[ 3.577 -1.258]
57,58000,[3.751 0.062]
58,59000,[ 5.34  -1.893]
59,60000,[ 3.891 -2.597]
60,61000,[ 6.523 -2.274]
61,62000,[ 3.454 -3.378]
62,63000,[ 3.041 -1.734]
63,64000,[ 3.909 -2.645]
64,65000,[ 3.001 -2.622]
65,66000,[ 3.27  -2.511]
66,67000,[ 5.615 -2.237]
67,68000,[ 4.386 -2.774]
68,69000,[ 2.813 -3.615]
69,70000,[ 4.07  -2.719]
70,71000,[ 3.73  -3.035]
71,72000,[ 5.951 -1.584]
72,73000,[ 3.928 -1.259]
73,74000,[ 3.115 -1.875]
74,75000,[ 4.441 -2.324]
75,76000,[ 3.94  -2.225]
76,77000,[ 3.406 -2.642]
77,78000,[ 4.584 -2.807]
78,79000,[ 4.108 -2.196]
79,80000,[3.589 0.264]
80,81000,[ 6.792 -1.395]
81,82000,[ 3.847 -1.978]
82,83000,[ 4.519 -0.987]
83,84000,[ 4.116 -1.612]
84,85000,[ 4.331 -2.564]
85,86000,[ 4.464 -1.241]
86,87000,[4.868 0.457]
87,88000,[ 3.788 -1.528]
88,89000,[ 3.521 -1.824]
89,90000,[ 4.265 -2.692]
90,91000,[ 4.992 -2.549]
91,92000,[ 4.417 -2.808]
92,93000,[ 4.219 -2.701]
93,94000,[ 4.079 -2.876]
94,95000,[4.038 0.423]
95,96000,[ 4.063 -2.299]
96,97000,[ 3.543 -2.088]
97,98000,[ 4.799 -2.022]
98,99000,[ 3.629 -2.724]
99,100000,[ 2.797 -1.93 ]
100,101000,[ 4.41 -2.55]
101,102000,[ 7.336 -2.298]
102,103000,[ 4.201 -1.086]
103,104000,[ 3.423 -1.244]
104,105000,[ 3.759 -1.704]
105,106000,[ 3.298 -1.015]
106,107000,[ 3.083 -2.688]
107,108000,[ 4.216 -2.232]
108,109000,[ 4.305 -0.879]
109,110000,[ 3.216 -1.588]
110,111000,[4.45  0.226]
111,112000,[ 4.224 -2.07 ]
112,113000,[4.64  0.685]
113,114000,[ 4.474 -2.1  ]
114,115000,[4.755 0.391]
115,116000,[ 4.725 -1.554]
116,117000,[ 4.232 -2.61 ]
117,118000,[ 4.398 -2.035]
118,119000,[ 3.994 -1.008]
119,120000,[ 5.061 -1.75 ]
120,121000,[ 4.521 -2.132]
121,122000,[ 3.821 -1.522]
122,123000,[ 4.215 -2.384]
123,124000,[ 3.396 -1.931]
124,125000,[ 6.853 -0.948]
125,126000,[3.908 1.628]
126,127000,[ 4.33  -1.195]
127,128000,[ 4.492 -1.625]
128,129000,[ 3.928 -2.165]
129,130000,[ 4.478 -1.733]
130,131000,[ 4.273 -2.398]
131,132000,[ 7.136 -1.863]
132,133000,[ 4.235 -1.806]
133,134000,[ 4.017 -1.3  ]
134,135000,[ 4.441 -1.714]
135,136000,[ 4.782 -0.084]
136,137000,[4.569 0.615]
137,138000,[ 4.609 -2.086]
138,139000,[ 4.812 -1.395]
139,140000,[ 7.218 -1.91 ]
140,141000,[ 3.954 -1.982]
141,142000,[ 4.871 -1.047]
142,143000,[ 4.358 -1.209]
143,144000,[ 4.307 -1.731]
144,145000,[ 6.65  -1.361]
145,146000,[ 4.479 -1.928]
146,147000,[ 5.332 -1.884]
147,148000,[4.453 0.342]
148,149000,[ 4.446 -2.189]
149,150000,[ 4.824 -2.709]
150,151000,[ 4.373 -1.113]
151,152000,[ 6.832 -1.941]
152,153000,[ 4.439 -1.786]
153,154000,[ 7.52  -2.262]
154,155000,[ 5.447 -3.034]
155,156000,[ 6.052 -1.989]
156,157000,[ 5.563 -2.334]
157,158000,[3.739 1.558]
158,159000,[ 4.466 -1.676]
159,160000,[ 5.116 -2.009]
160,161000,[ 4.09  -1.965]
161,162000,[ 4.341 -1.93 ]
162,163000,[ 4.876 -0.846]
163,164000,[5.551 1.296]
164,165000,[ 5.71  -1.075]
165,166000,[ 5.078 -0.945]
166,167000,[ 4.785 -1.268]
167,168000,[ 4.316 -0.377]
168,169000,[ 5.164 -1.348]
169,170000,[ 4.68  -2.163]
170,171000,[ 4.551 -1.852]
171,172000,[ 4.657 -2.482]
172,173000,[4.336 1.173]
173,174000,[ 4.827 -1.047]
174,175000,[ 5.725 -1.377]
175,176000,[ 4.964 -1.465]
176,177000,[ 5.581 -1.472]
177,178000,[ 5.132 -1.413]
178,179000,[ 5.295 -2.137]
179,180000,[ 6.16  -1.748]
180,181000,[ 5.194 -0.766]
181,182000,[ 5.019 -2.105]
182,183000,[7.444 0.566]
183,184000,[ 4.18  -1.831]
184,185000,[ 7.971 -1.18 ]
185,186000,[4.751 0.4  ]
186,187000,[ 7.814 -2.554]
187,188000,[ 5.09  -2.011]
188,189000,[ 5.638 -1.558]
189,190000,[ 4.726 -1.962]
190,191000,[5.028 0.358]
191,192000,[ 4.875 -1.44 ]
192,193000,[ 4.17 -0.27]
193,194000,[ 5.647 -1.449]
194,195000,[ 7.779 -2.549]
195,196000,[ 5.634 -1.156]
196,197000,[ 4.853 -1.893]
197,198000,[ 4.717 -1.272]
198,199000,[ 4.8   -2.605]
199,200000,[ 5.492 -1.485]
200,201000,[6.131 1.054]
201,202000,[ 4.986 -1.22 ]
202,203000,[ 5.493 -0.863]
203,204000,[4.778 0.289]
204,205000,[ 4.999 -1.361]
205,206000,[ 4.645 -1.194]
206,207000,[ 5.159 -1.372]
207,208000,[ 5.166 -1.196]
208,209000,[ 7.506 -2.322]
209,210000,[ 4.927 -1.158]
210,211000,[ 5.937 -1.06 ]
211,212000,[ 4.71 -1.17]
212,213000,[ 5.274 -1.839]
213,214000,[ 5.928 -1.243]
214,215000,[ 5.244 -1.552]
215,216000,[ 4.509 -2.031]
216,217000,[ 5.278 -1.851]
217,218000,[ 5.302 -1.755]
218,219000,[ 5.371 -1.696]
219,220000,[ 5.231 -2.323]
220,221000,[ 5.23  -1.343]
221,222000,[ 5.189 -1.882]
222,223000,[ 5.555 -0.723]
223,224000,[4.879 1.082]
224,225000,[ 4.598 -2.13 ]
225,226000,[ 4.405 -0.691]
226,227000,[5.296 0.711]
227,228000,[5.054 0.679]
228,229000,[ 5.016 -1.715]
229,230000,[5.563 0.421]
230,231000,[ 5.019 -1.241]
231,232000,[ 5.178 -1.64 ]
232,233000,[ 7.193 -0.772]
