,Iteration,Rewards
0,1,[ 2.71  -2.701]
1,2,[ 3.201 -3.494]
2,3,[ 3.51  -2.938]
3,4,[ 2.006 -2.55 ]
4,5,[ 3.2   -2.668]
5,6,[ 3.016 -3.034]
6,7,[ 2.654 -2.905]
7,8,[ 2.675 -3.221]
8,9,[ 2.426 -2.615]
9,10,[ 3.137 -2.894]
10,11,[ 2.524 -3.583]
11,12,[ 2.902 -3.405]
12,13,[ 2.857 -3.244]
13,14,[ 3.586 -2.651]
14,15,[ 2.747 -2.398]
15,16,[ 1.988 -3.667]
16,17,[ 3.454 -3.619]
17,18,[ 3.426 -4.096]
18,19,[ 2.933 -3.129]
19,20,[ 1.894 -2.712]
20,21,[ 4.025 -2.528]
21,22,[ 2.613 -2.707]
22,23,[ 4.166 -2.992]
23,24,[ 3.837 -2.832]
24,25,[ 2.353 -3.014]
25,26,[ 3.671 -2.49 ]
26,27,[ 3.459 -3.212]
27,28,[ 2.4   -2.906]
28,29,[ 3.083 -3.037]
29,30,[ 3.518 -2.871]
30,31,[ 2.998 -3.823]
31,32,[ 3.548 -2.706]
32,33,[ 2.223 -2.876]
33,34,[ 2.835 -3.009]
34,35,[ 2.444 -3.278]
35,36,[ 2.663 -3.702]
36,37,[ 3.249 -3.491]
37,38,[ 3.006 -2.757]
38,39,[ 3.06  -3.703]
39,40,[ 3.185 -2.681]
40,41,[ 3.277 -3.398]
41,42,[ 3.251 -1.92 ]
42,43,[ 2.605 -2.508]
43,44,[ 2.99  -3.029]
44,45,[ 3.834 -3.292]
45,46,[ 3.228 -3.452]
46,47,[ 3.988 -2.972]
47,48,[ 4.359 -3.404]
48,49,[ 3.807 -3.686]
49,50,[ 2.853 -3.312]
50,51,[ 3.232 -3.739]
51,52,[ 3.347 -2.854]
52,53,[ 2.007 -2.88 ]
53,54,[ 2.384 -3.548]
54,55,[ 2.977 -4.311]
55,56,[ 3.256 -3.565]
56,57,[ 3.357 -2.888]
57,58,[ 3.226 -2.439]
58,59,[ 2.966 -2.244]
59,60,[ 2.831 -3.157]
60,61,[ 3.135 -3.007]
61,62,[ 3.263 -2.228]
62,63,[ 3.048 -4.052]
63,64,[ 4.21  -1.976]
64,65,[ 3.451 -3.033]
