,cfr Return Against cfrplus,Order
0,0,0
1,2.0,0
2,0,0
3,2.0,0
4,5.0,0
5,2.0,0
6,2.0,0
7,0,0
8,0,0
9,0,0
10,6.0,0
11,2.0,0
12,2.0,0
13,0,0
14,6.0,0
15,3.0,0
16,3.0,0
17,7.0,0
18,4.0,0
19,1.0,0
20,4.0,0
21,7.0,0
22,6.0,0
23,3.0,0
24,1.0,0
25,2.0,0
26,4.0,0
27,0,0
28,1.0,0
29,2.0,0
30,-2.0,0
31,2.0,0
32,2.0,0
33,6.0,0
34,3.0,0
35,-2.0,0
36,0,0
37,1.0,0
38,0,0
39,1.0,0
40,2.0,0
41,2.0,0
42,2.0,0
43,1.0,0
44,1.0,0
45,4.0,0
46,-2.0,0
47,4.0,0
48,0,0
49,1.0,0
50,4.0,0
51,2.0,0
52,0,0
53,2.0,0
54,6.0,0
55,7.0,0
56,2.0,0
57,4.0,0
58,6.0,0
59,2.0,0
60,0,0
61,2.0,0
62,0,0
63,2.0,0
64,2.0,0
65,0,0
66,3.0,0
67,6.0,0
68,2.0,0
69,3.0,0
70,4.0,0
71,3.0,0
72,3.0,0
73,1.0,0
74,1.0,0
75,0,0
76,1.0,0
77,0,0
78,0,0
79,4.0,0
80,4.0,0
81,4.0,0
82,4.0,0
83,0,0
84,5.0,0
85,0,0
86,1.0,0
87,0,0
88,0,0
89,4.0,0
90,2.0,0
91,4.0,0
92,0,0
93,0,0
94,2.0,0
95,0,0
96,2.0,0
97,4.0,0
98,1.0,0
99,4.0,0
100,4.0,0
101,0,0
102,4.0,0
103,0,0
104,4.0,0
105,6.0,0
106,1.0,0
107,0,0
108,1.0,0
109,0,0
110,6.0,0
111,0,0
112,1.0,0
113,6.0,0
114,0,0
115,3.0,0
116,2.0,0
117,6.0,0
118,0,0
119,1.0,0
120,1.0,0
121,0,0
122,3.0,0
123,2.0,0
124,6.0,0
125,2.0,0
126,2.0,0
127,1.0,0
128,0,0
129,6.0,0
130,2.0,0
131,3.0,0
132,2.0,0
133,6.0,0
134,0,0
135,4.0,0
136,4.0,0
137,1.0,0
138,2.0,0
139,4.0,0
140,1.0,0
141,4.0,0
142,4.0,0
143,4.0,0
144,4.0,0
145,2.0,0
146,7.0,0
147,4.0,0
148,0,0
149,4.0,0
150,1.0,0
151,2.0,0
152,0,0
153,3.0,0
154,4.0,0
155,-2.0,0
156,7.0,0
157,6.0,0
158,3.0,0
159,4.0,0
160,4.0,0
161,-2.0,0
162,0,0
163,0,0
164,4.0,0
165,0,0
166,0,0
167,2.0,0
168,-2.0,0
169,2.0,0
170,2.0,0
171,2.0,0
172,2.0,0
173,4.0,0
174,2.0,0
175,0,0
176,5.0,0
177,1.0,0
178,2.0,0
179,1.0,0
180,4.0,0
181,0,0
182,0,0
183,1.0,0
184,0,0
185,2.0,0
186,4.0,0
187,6.0,0
188,2.0,0
189,3.0,0
190,4.0,0
191,4.0,0
192,1.0,0
193,0,0
194,2.0,0
195,0,0
196,6.0,0
197,0,0
198,2.0,0
199,-2.0,0
200,7.0,0
201,0,0
202,2.0,0
203,-2.0,0
204,2.0,0
205,6.0,0
206,4.0,0
207,0,0
208,6.0,0
209,2.0,0
210,4.0,0
211,2.0,0
212,2.0,0
213,4.0,0
214,0,0
215,2.0,0
216,6.0,0
217,2.0,0
218,6.0,0
219,6.0,0
220,1.0,0
221,4.0,0
222,4.0,0
223,4.0,0
224,1.0,0
225,2.0,0
226,1.0,0
227,0,0
228,3.0,0
229,6.0,0
230,2.0,0
231,1.0,0
232,1.0,0
233,4.0,0
234,1.0,0
235,1.0,0
236,4.0,0
237,2.0,0
238,3.0,0
239,1.0,0
240,4.0,0
241,-2.0,0
242,2.0,0
243,2.0,0
244,-2.0,0
245,2.0,0
246,1.0,0
247,7.0,0
248,2.0,0
249,1.0,0
250,0,0
251,2.0,0
252,4.0,0
253,0,0
254,2.0,0
255,0,0
256,2.0,0
257,0,0
258,4.0,0
259,2.0,0
260,2.0,0
261,0,0
262,4.0,0
263,0,0
264,1.0,0
265,4.0,0
266,-2.0,0
267,2.0,0
268,2.0,0
269,2.0,0
270,0,0
271,0,0
272,3.0,0
273,7.0,0
274,2.0,0
275,0,0
276,0,0
277,5.0,0
278,2.0,0
279,0,0
280,4.0,0
281,0,0
282,4.0,0
283,6.0,0
284,4.0,0
285,4.0,0
286,-2.0,0
287,7.0,0
288,2.0,0
289,0,0
290,4.0,0
291,2.0,0
292,2.0,0
293,2.0,0
294,5.0,0
295,4.0,0
296,1.0,0
297,2.0,0
298,6.0,0
299,3.0,0
300,0,0
301,0,0
302,4.0,0
303,2.0,0
304,4.0,0
305,3.0,0
306,4.0,0
307,2.0,0
308,6.0,0
309,1.0,0
310,2.0,0
311,4.0,0
312,6.0,0
313,1.0,0
314,0,0
315,0,0
316,2.0,0
317,-2.0,0
318,5.0,0
319,0,0
320,1.0,0
321,0,0
322,0,0
323,7.0,0
324,2.0,0
325,2.0,0
326,0,0
327,0,0
328,4.0,0
329,0,0
330,3.0,0
331,6.0,0
332,-2.0,0
333,2.0,0
334,2.0,0
335,4.0,0
336,0,0
337,4.0,0
338,0,0
339,0,0
340,2.0,0
341,1.0,0
342,5.0,0
343,2.0,0
344,1.0,0
345,2.0,0
346,1.0,0
347,2.0,0
348,2.0,0
349,1.0,0
350,0,0
351,6.0,0
352,0,0
353,6.0,0
354,7.0,0
355,6.0,0
356,2.0,0
357,6.0,0
358,2.0,0
359,4.0,0
360,5.0,0
361,0,0
362,2.0,0
363,0,0
364,0,0
365,0,0
366,5.0,0
367,7.0,0
368,0,0
369,5.0,0
370,0,0
371,2.0,0
372,3.0,0
373,0,0
374,2.0,0
375,2.0,0
376,5.0,0
377,6.0,0
378,0,0
379,4.0,0
380,2.0,0
381,1.0,0
382,0,0
383,4.0,0
384,6.0,0
385,4.0,0
386,6.0,0
387,2.0,0
388,1.0,0
389,3.0,0
390,2.0,0
391,4.0,0
392,0,0
393,0,0
394,0,0
395,6.0,0
396,3.0,0
397,4.0,0
398,-2.0,0
399,6.0,0
400,0,0
401,4.0,0
402,2.0,0
403,4.0,0
404,2.0,0
405,2.0,0
406,2.0,0
407,3.0,0
408,0,0
409,2.0,0
410,0,0
411,3.0,0
412,1.0,0
413,4.0,0
414,4.0,0
415,3.0,0
416,1.0,0
417,1.0,0
418,0,0
419,2.0,0
420,1.0,0
421,-2.0,0
422,4.0,0
423,4.0,0
424,2.0,0
425,0,0
426,0,0
427,0,0
428,2.0,0
429,4.0,0
430,4.0,0
431,0,0
432,0,0
433,0,0
434,2.0,0
435,6.0,0
436,0,0
437,-2.0,0
438,-2.0,0
439,2.0,0
440,6.0,0
441,2.0,0
442,0,0
443,4.0,0
444,0,0
445,6.0,0
446,2.0,0
447,5.0,0
448,-2.0,0
449,3.0,0
450,-2.0,0
451,6.0,0
452,0,0
453,4.0,0
454,6.0,0
455,4.0,0
456,6.0,0
457,0,0
458,4.0,0
459,4.0,0
460,2.0,0
461,0,0
462,2.0,0
463,0,0
464,3.0,0
465,0,0
466,4.0,0
467,2.0,0
468,2.0,0
469,0,0
470,4.0,0
471,-2.0,0
472,0,0
473,0,0
474,2.0,0
475,2.0,0
476,6.0,0
477,2.0,0
478,0,0
479,4.0,0
480,6.0,0
481,2.0,0
482,4.0,0
483,4.0,0
484,0,0
485,2.0,0
486,4.0,0
487,-2.0,0
488,3.0,0
489,-2.0,0
490,2.0,0
491,0,0
492,2.0,0
493,4.0,0
494,0,0
495,-2.0,0
496,2.0,0
497,2.0,0
498,2.0,0
499,2.0,0
500,0,0
501,0,0
502,0,0
503,0,0
504,4.0,0
505,5.0,0
506,0,0
507,2.0,0
508,0,0
509,2.0,0
510,4.0,0
511,1.0,0
512,3.0,0
513,4.0,0
514,4.0,0
515,6.0,0
516,2.0,0
517,3.0,0
518,7.0,0
519,4.0,0
520,2.0,0
521,4.0,0
522,4.0,0
523,7.0,0
524,1.0,0
525,3.0,0
526,3.0,0
527,0,0
528,2.0,0
529,4.0,0
530,0,0
531,2.0,0
532,0,0
533,7.0,0
534,2.0,0
535,6.0,0
536,6.0,0
537,1.0,0
538,3.0,0
539,7.0,0
540,2.0,0
541,0,0
542,3.0,0
543,4.0,0
544,7.0,0
545,0,0
546,2.0,0
547,0,0
548,7.0,0
549,4.0,0
550,4.0,0
551,4.0,0
552,2.0,0
553,3.0,0
554,0,0
555,5.0,0
556,4.0,0
557,1.0,0
558,0,0
559,4.0,0
560,6.0,0
561,-2.0,0
562,2.0,0
563,2.0,0
564,0,0
565,4.0,0
566,2.0,0
567,6.0,0
568,3.0,0
569,7.0,0
570,4.0,0
571,-2.0,0
572,1.0,0
573,2.0,0
574,-2.0,0
575,2.0,0
576,7.0,0
577,2.0,0
578,0,0
579,6.0,0
580,0,0
581,6.0,0
582,5.0,0
583,-2.0,0
584,0,0
585,4.0,0
586,2.0,0
587,6.0,0
588,-2.0,0
589,1.0,0
590,1.0,0
591,2.0,0
592,1.0,0
593,3.0,0
594,-2.0,0
595,2.0,0
596,2.0,0
597,3.0,0
598,5.0,0
599,2.0,0
600,0,0
601,0,0
602,2.0,0
603,-2.0,0
604,2.0,0
605,2.0,0
606,0,0
607,0,0
608,4.0,0
609,4.0,0
610,6.0,0
611,1.0,0
612,0,0
613,0,0
614,0,0
615,2.0,0
616,7.0,0
617,2.0,0
618,0,0
619,0,0
620,2.0,0
621,2.0,0
622,2.0,0
623,0,0
624,0,0
625,2.0,0
626,2.0,0
627,2.0,0
628,2.0,0
629,2.0,0
630,2.0,0
631,2.0,0
632,1.0,0
633,2.0,0
634,3.0,0
635,4.0,0
636,0,0
637,4.0,0
638,1.0,0
639,5.0,0
640,0,0
641,3.0,0
642,2.0,0
643,0,0
644,0,0
645,0,0
646,-2.0,0
647,0,0
648,0,0
649,2.0,0
650,4.0,0
651,2.0,0
652,1.0,0
