,cfr Return Against mmd,Order
0,3.0,0
1,0.0,0
2,6.0,0
3,4.0,0
4,0.0,0
5,6.0,0
6,4.0,0
7,2.0,0
8,0.0,0
9,3.0,0
10,2.0,0
11,7.0,0
12,3.0,0
13,4.0,0
14,4.0,0
15,4.0,0
16,0.0,0
17,2.0,0
18,3.0,0
19,7.0,0
20,4.0,0
21,0.0,0
22,2.0,0
23,0.0,0
24,4.0,0
25,0.0,0
26,2.0,0
27,3.0,0
28,1.0,0
29,4.0,0
30,1.0,0
31,2.0,0
32,2.0,0
33,0.0,0
34,5.0,0
35,3.0,0
36,2.0,0
37,6.0,0
38,2.0,0
39,3.0,0
40,2.0,0
41,6.0,0
42,2.0,0
43,4.0,0
44,1.0,0
45,3.0,0
46,3.0,0
47,3.0,0
48,2.0,0
49,0.0,0
50,2.0,0
51,3.0,0
52,2.0,0
53,4.0,0
54,0.0,0
55,2.0,0
56,2.0,0
57,1.0,0
58,4.0,0
59,-2.0,0
60,4.0,0
61,2.0,0
62,-2.0,0
63,0.0,0
64,2.0,0
65,0.0,0
66,6.0,0
67,0.0,0
68,4.0,0
69,4.0,0
70,4.0,0
71,1.0,0
72,-2.0,0
73,2.0,0
74,3.0,0
75,6.0,0
76,4.0,0
77,2.0,0
78,2.0,0
79,6.0,0
80,4.0,0
81,4.0,0
82,7.0,0
83,4.0,0
84,1.0,0
85,0.0,0
86,3.0,0
87,0.0,0
88,-2.0,0
89,2.0,0
90,6.0,0
91,6.0,0
92,2.0,0
93,2.0,0
94,2.0,0
95,-2.0,0
96,6.0,0
97,5.0,0
98,2.0,0
99,4.0,0
100,3.0,0
101,2.0,0
102,2.0,0
103,6.0,0
104,-2.0,0
105,6.0,0
106,0.0,0
107,2.0,0
108,3.0,0
109,1.0,0
110,0.0,0
111,4.0,0
112,2.0,0
113,6.0,0
114,2.0,0
115,4.0,0
116,2.0,0
117,2.0,0
118,0.0,0
119,2.0,0
120,6.0,0
121,2.0,0
122,6.0,0
123,2.0,0
124,4.0,0
125,6.0,0
126,2.0,0
127,2.0,0
128,0.0,0
129,0.0,0
130,2.0,0
131,2.0,0
132,4.0,0
133,6.0,0
134,1.0,0
135,2.0,0
136,-2.0,0
137,0.0,0
138,4.0,0
139,4.0,0
140,4.0,0
141,3.0,0
142,0.0,0
143,0.0,0
144,2.0,0
145,0.0,0
146,4.0,0
147,0.0,0
148,1.0,0
149,2.0,0
150,6.0,0
151,2.0,0
152,2.0,0
153,1.0,0
154,2.0,0
155,6.0,0
156,-2.0,0
157,1.0,0
158,2.0,0
159,7.0,0
160,4.0,0
161,1.0,0
162,5.0,0
163,6.0,0
164,3.0,0
165,2.0,0
166,0.0,0
167,0.0,0
168,1.0,0
169,0.0,0
170,0.0,0
171,0.0,0
172,0.0,0
173,7.0,0
174,2.0,0
175,2.0,0
176,2.0,0
177,2.0,0
178,6.0,0
179,0.0,0
180,4.0,0
181,6.0,0
182,2.0,0
183,4.0,0
184,1.0,0
185,3.0,0
186,4.0,0
187,2.0,0
188,1.0,0
189,4.0,0
190,6.0,0
191,4.0,0
192,3.0,0
193,4.0,0
194,2.0,0
195,4.0,0
196,4.0,0
197,2.0,0
198,4.0,0
199,1.0,0
200,6.0,0
201,3.0,0
202,0.0,0
203,4.0,0
204,1.0,0
205,7.0,0
206,-2.0,0
207,0.0,0
208,2.0,0
209,2.0,0
210,2.0,0
211,0.0,0
212,2.0,0
213,4.0,0
214,0.0,0
215,0.0,0
216,0.0,0
217,3.0,0
218,3.0,0
219,1.0,0
220,6.0,0
221,-2.0,0
222,2.0,0
223,2.0,0
224,0.0,0
225,3.0,0
226,2.0,0
227,0.0,0
228,2.0,0
229,4.0,0
230,4.0,0
231,-2.0,0
232,4.0,0
233,4.0,0
234,3.0,0
235,2.0,0
236,3.0,0
237,4.0,0
238,0.0,0
239,2.0,0
240,2.0,0
241,0.0,0
242,2.0,0
243,7.0,0
244,2.0,0
245,6.0,0
246,2.0,0
247,1.0,0
248,2.0,0
249,2.0,0
250,0.0,0
251,7.0,0
252,3.0,0
253,2.0,0
254,1.0,0
255,2.0,0
256,3.0,0
257,0.0,0
258,6.0,0
259,4.0,0
260,0.0,0
261,2.0,0
262,4.0,0
263,2.0,0
264,2.0,0
265,4.0,0
266,2.0,0
267,-2.0,0
268,4.0,0
269,3.0,0
270,2.0,0
271,2.0,0
272,0.0,0
273,3.0,0
274,1.0,0
275,3.0,0
276,2.0,0
277,3.0,0
278,1.0,0
279,0.0,0
280,2.0,0
281,1.0,0
282,-2.0,0
283,-2.0,0
284,4.0,0
285,0.0,0
286,0.0,0
287,2.0,0
288,3.0,0
289,4.0,0
290,2.0,0
291,3.0,0
292,7.0,0
293,2.0,0
294,5.0,0
295,3.0,0
296,4.0,0
297,0.0,0
298,2.0,0
299,6.0,0
300,-2.0,0
301,0.0,0
302,-2.0,0
303,3.0,0
304,4.0,0
305,3.0,0
306,-2.0,0
307,3.0,0
308,4.0,0
309,4.0,0
310,4.0,0
311,4.0,0
312,5.0,0
313,2.0,0
314,4.0,0
315,2.0,0
316,3.0,0
317,1.0,0
318,0.0,0
319,2.0,0
320,0.0,0
321,-2.0,0
322,2.0,0
323,1.0,0
324,2.0,0
325,4.0,0
326,4.0,0
327,3.0,0
328,4.0,0
329,2.0,0
330,4.0,0
331,0.0,0
332,-2.0,0
333,1.0,0
334,0.0,0
335,2.0,0
336,2.0,0
337,2.0,0
338,2.0,0
339,2.0,0
340,2.0,0
341,2.0,0
342,0.0,0
343,0.0,0
344,2.0,0
345,5.0,0
346,2.0,0
347,0.0,0
348,1.0,0
349,-2.0,0
350,4.0,0
351,4.0,0
352,1.0,0
353,-2.0,0
354,3.0,0
355,3.0,0
356,6.0,0
357,2.0,0
358,4.0,0
359,4.0,0
360,0.0,0
361,0.0,0
362,2.0,0
363,0.0,0
364,4.0,0
365,4.0,0
366,3.0,0
367,0.0,0
368,0.0,0
369,3.0,0
370,0.0,0
371,2.0,0
372,3.0,0
373,1.0,0
374,4.0,0
375,-2.0,0
376,0.0,0
377,2.0,0
378,4.0,0
379,0.0,0
380,2.0,0
381,0.0,0
382,0.0,0
383,3.0,0
384,1.0,0
385,0.0,0
386,2.0,0
387,1.0,0
388,7.0,0
389,2.0,0
390,0.0,0
391,3.0,0
392,0.0,0
393,4.0,0
394,4.0,0
395,2.0,0
396,0.0,0
397,0.0,0
398,0.0,0
399,1.0,0
400,0.0,0
401,1.0,0
402,0.0,0
403,4.0,0
404,2.0,0
405,2.0,0
406,0.0,0
407,0.0,0
408,2.0,0
409,2.0,0
410,-2.0,0
411,4.0,0
412,2.0,0
413,0.0,0
414,1.0,0
415,4.0,0
416,4.0,0
417,0.0,0
418,2.0,0
419,2.0,0
420,0.0,0
421,1.0,0
422,2.0,0
423,4.0,0
424,2.0,0
425,0.0,0
426,1.0,0
427,1.0,0
428,6.0,0
429,4.0,0
430,1.0,0
431,4.0,0
432,2.0,0
433,0.0,0
434,0.0,0
435,4.0,0
436,4.0,0
437,4.0,0
438,3.0,0
439,-2.0,0
440,4.0,0
441,2.0,0
442,0.0,0
443,0.0,0
444,4.0,0
445,3.0,0
446,0.0,0
447,5.0,0
448,6.0,0
449,4.0,0
450,2.0,0
451,4.0,0
452,0.0,0
453,-2.0,0
454,0.0,0
455,0.0,0
456,4.0,0
457,3.0,0
458,2.0,0
459,3.0,0
460,6.0,0
461,2.0,0
462,2.0,0
463,4.0,0
464,1.0,0
465,1.0,0
466,0.0,0
467,3.0,0
468,-2.0,0
469,0.0,0
470,7.0,0
471,4.0,0
472,0.0,0
473,1.0,0
474,2.0,0
475,2.0,0
476,6.0,0
477,6.0,0
478,7.0,0
479,6.0,0
480,2.0,0
481,2.0,0
482,4.0,0
483,2.0,0
484,4.0,0
485,0.0,0
