,cfr Return Against qlearner,Order
0,4.0,0
1,3.0,0
2,0.0,0
3,1.0,0
4,7.0,0
5,0.0,0
6,2.0,0
7,4.0,0
8,1.0,0
9,6.0,0
10,2.0,0
11,0.0,0
12,4.0,0
13,-2.0,0
14,0.0,0
15,2.0,0
16,4.0,0
17,3.0,0
18,6.0,0
19,0.0,0
20,2.0,0
21,2.0,0
22,0.0,0
23,4.0,0
24,0.0,0
25,4.0,0
26,1.0,0
27,0.0,0
28,3.0,0
29,2.0,0
30,-2.0,0
31,4.0,0
32,0.0,0
33,3.0,0
34,-2.0,0
35,0.0,0
36,2.0,0
37,0.0,0
38,4.0,0
39,4.0,0
40,2.0,0
41,1.0,0
42,4.0,0
43,3.0,0
44,4.0,0
45,2.0,0
46,2.0,0
47,2.0,0
48,3.0,0
49,3.0,0
50,3.0,0
51,0.0,0
52,4.0,0
53,4.0,0
54,1.0,0
55,4.0,0
56,2.0,0
57,3.0,0
58,2.0,0
59,-2.0,0
60,4.0,0
61,4.0,0
62,1.0,0
63,4.0,0
64,2.0,0
65,2.0,0
66,2.0,0
67,0.0,0
68,4.0,0
69,0.0,0
70,4.0,0
71,2.0,0
72,2.0,0
73,-2.0,0
74,2.0,0
75,-2.0,0
76,3.0,0
77,4.0,0
78,2.0,0
79,4.0,0
80,2.0,0
81,0.0,0
82,2.0,0
83,1.0,0
84,2.0,0
85,3.0,0
86,0.0,0
87,6.0,0
88,2.0,0
89,0.0,0
90,2.0,0
91,1.0,0
92,0.0,0
93,6.0,0
94,4.0,0
95,2.0,0
96,0.0,0
97,2.0,0
98,2.0,0
99,2.0,0
100,2.0,0
101,0.0,0
102,3.0,0
103,6.0,0
104,4.0,0
105,4.0,0
106,6.0,0
107,2.0,0
108,1.0,0
109,6.0,0
110,4.0,0
111,0.0,0
112,2.0,0
113,6.0,0
114,4.0,0
115,2.0,0
116,4.0,0
117,2.0,0
118,0.0,0
119,-2.0,0
120,1.0,0
121,0.0,0
122,0.0,0
123,4.0,0
124,0.0,0
125,3.0,0
126,4.0,0
127,0.0,0
128,2.0,0
129,-2.0,0
130,2.0,0
131,4.0,0
132,0.0,0
133,2.0,0
134,3.0,0
135,0.0,0
136,-2.0,0
137,4.0,0
138,4.0,0
139,4.0,0
140,3.0,0
141,1.0,0
142,6.0,0
143,2.0,0
144,0.0,0
145,3.0,0
146,0.0,0
147,1.0,0
148,2.0,0
149,4.0,0
150,2.0,0
151,7.0,0
152,0.0,0
153,3.0,0
154,4.0,0
155,6.0,0
156,0.0,0
157,0.0,0
158,1.0,0
159,0.0,0
160,3.0,0
161,4.0,0
162,2.0,0
163,2.0,0
164,2.0,0
165,5.0,0
166,0.0,0
167,0.0,0
168,2.0,0
169,2.0,0
170,5.0,0
171,0.0,0
172,0.0,0
173,0.0,0
174,3.0,0
175,4.0,0
176,4.0,0
177,3.0,0
178,2.0,0
179,2.0,0
180,4.0,0
181,0.0,0
182,0.0,0
183,1.0,0
184,1.0,0
185,2.0,0
186,0.0,0
187,2.0,0
188,1.0,0
189,4.0,0
190,1.0,0
191,0.0,0
192,0.0,0
193,4.0,0
194,3.0,0
195,2.0,0
196,-2.0,0
197,0.0,0
198,4.0,0
199,0.0,0
200,4.0,0
201,4.0,0
202,4.0,0
203,0.0,0
204,0.0,0
205,3.0,0
206,2.0,0
207,4.0,0
208,2.0,0
209,4.0,0
210,2.0,0
211,0.0,0
212,3.0,0
213,4.0,0
214,4.0,0
215,0.0,0
216,6.0,0
217,4.0,0
218,4.0,0
219,5.0,0
220,4.0,0
221,0.0,0
222,3.0,0
223,4.0,0
224,2.0,0
225,4.0,0
226,-2.0,0
227,1.0,0
228,0.0,0
229,2.0,0
230,1.0,0
231,1.0,0
232,4.0,0
233,3.0,0
234,-2.0,0
235,4.0,0
236,3.0,0
237,0.0,0
238,6.0,0
239,4.0,0
240,4.0,0
241,0.0,0
242,4.0,0
243,4.0,0
244,0.0,0
245,4.0,0
246,6.0,0
247,0.0,0
248,2.0,0
249,1.0,0
250,4.0,0
251,0.0,0
252,4.0,0
253,0.0,0
254,2.0,0
255,4.0,0
256,4.0,0
257,4.0,0
258,4.0,0
259,4.0,0
260,2.0,0
261,4.0,0
262,2.0,0
263,0.0,0
264,0.0,0
265,2.0,0
266,2.0,0
267,1.0,0
268,1.0,0
269,6.0,0
270,1.0,0
271,1.0,0
272,2.0,0
273,4.0,0
274,0.0,0
275,2.0,0
276,2.0,0
277,4.0,0
278,0.0,0
279,4.0,0
280,4.0,0
281,0.0,0
282,3.0,0
283,6.0,0
284,2.0,0
285,4.0,0
286,-2.0,0
287,6.0,0
288,5.0,0
289,-2.0,0
290,2.0,0
291,2.0,0
292,0.0,0
293,0.0,0
294,6.0,0
295,1.0,0
296,2.0,0
297,1.0,0
298,2.0,0
299,-2.0,0
300,3.0,0
301,4.0,0
302,2.0,0
303,0.0,0
304,3.0,0
305,2.0,0
306,0.0,0
307,2.0,0
308,0.0,0
309,-2.0,0
310,2.0,0
311,6.0,0
312,2.0,0
313,5.0,0
314,-2.0,0
315,2.0,0
316,3.0,0
317,0.0,0
318,0.0,0
319,2.0,0
320,3.0,0
321,4.0,0
322,4.0,0
323,4.0,0
324,4.0,0
325,2.0,0
326,4.0,0
327,2.0,0
328,0.0,0
329,2.0,0
330,2.0,0
331,3.0,0
332,2.0,0
333,2.0,0
334,4.0,0
335,4.0,0
336,2.0,0
337,1.0,0
338,4.0,0
339,1.0,0
340,4.0,0
341,6.0,0
342,0.0,0
343,6.0,0
344,0.0,0
345,2.0,0
346,7.0,0
347,4.0,0
348,4.0,0
349,0.0,0
350,4.0,0
351,0.0,0
352,1.0,0
353,4.0,0
354,0.0,0
355,1.0,0
356,4.0,0
357,4.0,0
358,4.0,0
359,4.0,0
360,0.0,0
361,0.0,0
362,2.0,0
363,1.0,0
364,4.0,0
365,1.0,0
366,2.0,0
367,5.0,0
368,0.0,0
369,2.0,0
370,2.0,0
371,4.0,0
372,2.0,0
373,0.0,0
374,2.0,0
375,2.0,0
376,0.0,0
377,3.0,0
378,2.0,0
379,0.0,0
380,3.0,0
381,6.0,0
382,5.0,0
383,6.0,0
384,0.0,0
385,2.0,0
386,3.0,0
387,3.0,0
388,3.0,0
389,3.0,0
390,6.0,0
391,2.0,0
392,-2.0,0
393,2.0,0
394,6.0,0
395,0.0,0
396,2.0,0
397,2.0,0
398,2.0,0
399,2.0,0
400,6.0,0
401,4.0,0
402,4.0,0
403,0.0,0
404,6.0,0
405,2.0,0
406,1.0,0
407,4.0,0
408,1.0,0
409,6.0,0
410,2.0,0
411,0.0,0
412,2.0,0
413,0.0,0
414,2.0,0
415,2.0,0
416,4.0,0
417,5.0,0
418,0.0,0
419,0.0,0
420,2.0,0
421,2.0,0
422,3.0,0
423,0.0,0
424,4.0,0
425,2.0,0
426,1.0,0
427,0.0,0
428,5.0,0
429,0.0,0
430,7.0,0
431,1.0,0
432,3.0,0
433,1.0,0
434,2.0,0
435,6.0,0
436,4.0,0
437,2.0,0
438,2.0,0
439,4.0,0
440,5.0,0
441,4.0,0
442,1.0,0
443,2.0,0
444,4.0,0
445,2.0,0
446,2.0,0
447,2.0,0
448,2.0,0
449,6.0,0
450,1.0,0
451,2.0,0
452,2.0,0
453,3.0,0
454,2.0,0
455,1.0,0
456,5.0,0
457,1.0,0
458,2.0,0
459,5.0,0
460,0.0,0
461,4.0,0
462,4.0,0
463,-2.0,0
464,3.0,0
465,-2.0,0
466,2.0,0
467,4.0,0
468,0.0,0
469,2.0,0
470,2.0,0
471,-2.0,0
472,2.0,0
473,2.0,0
474,2.0,0
475,7.0,0
476,2.0,0
477,4.0,0
478,4.0,0
479,2.0,0
480,2.0,0
481,0.0,0
482,0.0,0
483,2.0,0
484,3.0,0
485,3.0,0
486,0.0,0
487,4.0,0
488,4.0,0
489,2.0,0
490,2.0,0
491,4.0,0
492,6.0,0
493,3.0,0
494,2.0,0
495,4.0,0
496,0.0,0
497,2.0,0
498,1.0,0
499,3.0,0
500,4.0,0
501,4.0,0
502,3.0,0
503,0.0,0
504,1.0,0
505,0.0,0
506,3.0,0
507,2.0,0
508,4.0,0
509,4.0,0
510,3.0,0
511,1.0,0
512,2.0,0
513,2.0,0
514,-2.0,0
515,3.0,0
516,4.0,0
517,0.0,0
518,4.0,0
519,2.0,0
520,4.0,0
521,0.0,0
522,2.0,0
523,3.0,0
524,3.0,0
525,2.0,0
526,1.0,0
527,2.0,0
528,2.0,0
529,0.0,0
530,3.0,0
531,2.0,0
532,0.0,0
533,2.0,0
534,0.0,0
535,1.0,0
536,0.0,0
537,0.0,0
538,2.0,0
539,0.0,0
540,0.0,0
541,2.0,0
542,0.0,0
543,6.0,0
544,1.0,0
545,1.0,0
546,4.0,0
547,1.0,0
548,2.0,0
549,2.0,0
550,3.0,0
551,1.0,0
552,3.0,0
553,4.0,0
554,0.0,0
555,4.0,0
556,6.0,0
557,6.0,0
558,2.0,0
559,0.0,0
560,4.0,0
561,2.0,0
562,4.0,0
563,3.0,0
564,4.0,0
565,2.0,0
566,2.0,0
567,7.0,0
568,2.0,0
569,-2.0,0
570,6.0,0
571,3.0,0
572,3.0,0
573,2.0,0
574,4.0,0
575,6.0,0
576,4.0,0
577,4.0,0
578,1.0,0
579,4.0,0
580,1.0,0
581,1.0,0
582,1.0,0
583,0.0,0
584,0.0,0
585,2.0,0
586,2.0,0
587,-2.0,0
588,4.0,0
589,-2.0,0
590,4.0,0
591,6.0,0
592,2.0,0
593,3.0,0
594,6.0,0
595,6.0,0
596,2.0,0
597,0.0,0
598,2.0,0
599,0.0,0
600,2.0,0
601,2.0,0
602,7.0,0
603,4.0,0
604,6.0,0
605,2.0,0
606,-2.0,0
607,2.0,0
608,4.0,0
609,1.0,0
610,0.0,0
611,4.0,0
612,1.0,0
613,1.0,0
614,2.0,0
615,6.0,0
616,2.0,0
617,0.0,0
618,4.0,0
619,0.0,0
620,2.0,0
621,6.0,0
622,6.0,0
623,2.0,0
624,-2.0,0
625,0.0,0
626,2.0,0
627,2.0,0
628,2.0,0
629,4.0,0
630,4.0,0
631,2.0,0
632,2.0,0
633,7.0,0
634,4.0,0
635,3.0,0
636,3.0,0
637,-2.0,0
638,0.0,0
639,0.0,0
640,2.0,0
641,2.0,0
642,0.0,0
643,2.0,0
644,5.0,0
645,4.0,0
646,4.0,0
647,4.0,0
648,6.0,0
649,2.0,0
650,3.0,0
651,3.0,0
652,2.0,0
653,0.0,0
654,0.0,0
655,4.0,0
656,4.0,0
657,2.0,0
658,6.0,0
659,-2.0,0
660,2.0,0
661,2.0,0
662,0.0,0
663,0.0,0
664,0.0,0
665,0.0,0
666,3.0,0
667,4.0,0
668,3.0,0
669,6.0,0
670,0.0,0
671,-2.0,0
672,2.0,0
673,2.0,0
674,4.0,0
675,3.0,0
676,1.0,0
677,4.0,0
678,4.0,0
679,1.0,0
680,6.0,0
681,0.0,0
682,0.0,0
683,-2.0,0
684,0.0,0
685,0.0,0
686,4.0,0
687,4.0,0
688,5.0,0
689,4.0,0
690,4.0,0
691,2.0,0
692,4.0,0
693,-2.0,0
694,2.0,0
695,2.0,0
696,0.0,0
697,2.0,0
698,0.0,0
699,0.0,0
700,4.0,0
701,6.0,0
702,2.0,0
703,2.0,0
704,5.0,0
705,4.0,0
706,4.0,0
707,0.0,0
708,4.0,0
709,4.0,0
710,5.0,0
711,-2.0,0
712,1.0,0
713,4.0,0
714,4.0,0
715,5.0,0
716,2.0,0
717,1.0,0
718,2.0,0
719,2.0,0
720,0.0,0
721,-2.0,0
722,4.0,0
723,4.0,0
724,4.0,0
725,4.0,0
726,4.0,0
727,4.0,0
728,4.0,0
729,0.0,0
730,2.0,0
731,4.0,0
732,4.0,0
733,0.0,0
734,4.0,0
735,4.0,0
736,-2.0,0
737,4.0,0
738,2.0,0
739,3.0,0
740,1.0,0
741,4.0,0
742,0.0,0
743,2.0,0
744,4.0,0
745,6.0,0
746,1.0,0
747,6.0,0
748,2.0,0
749,0.0,0
750,4.0,0
751,2.0,0
752,1.0,0
753,2.0,0
754,4.0,0
755,0.0,0
756,4.0,0
757,4.0,0
758,4.0,0
759,1.0,0
760,2.0,0
761,2.0,0
762,1.0,0
763,3.0,0
764,1.0,0
765,2.0,0
766,4.0,0
767,3.0,0
768,3.0,0
769,3.0,0
770,6.0,0
771,0.0,0
772,3.0,0
773,4.0,0
774,1.0,0
775,3.0,0
776,0.0,0
777,2.0,0
778,2.0,0
779,0.0,0
780,1.0,0
781,3.0,0
782,1.0,0
783,2.0,0
784,0.0,0
785,1.0,0
786,4.0,0
787,2.0,0
788,2.0,0
789,3.0,0
790,2.0,0
791,2.0,0
792,4.0,0
793,4.0,0
794,4.0,0
795,4.0,0
796,-2.0,0
797,7.0,0
798,0.0,0
799,2.0,0
800,4.0,0
801,4.0,0
802,4.0,0
803,1.0,0
804,2.0,0
805,3.0,0
806,1.0,0
807,3.0,0
808,1.0,0
809,0.0,0
810,2.0,0
811,4.0,0
812,5.0,0
813,3.0,0
814,4.0,0
815,0.0,0
816,2.0,0
817,4.0,0
818,2.0,0
819,1.0,0
820,6.0,0
821,0.0,0
822,2.0,0
823,4.0,0
824,4.0,0
825,0.0,0
826,3.0,0
827,2.0,0
828,0.0,0
829,4.0,0
830,4.0,0
831,2.0,0
832,4.0,0
833,6.0,0
834,0.0,0
835,2.0,0
836,0.0,0
837,7.0,0
838,2.0,0
839,2.0,0
840,0.0,0
841,4.0,0
842,0.0,0
843,4.0,0
844,2.0,0
845,3.0,0
846,4.0,0
847,2.0,0
848,3.0,0
849,-2.0,0
850,5.0,0
851,1.0,0
852,0.0,0
853,4.0,0
854,4.0,0
855,0.0,0
856,0.0,0
857,2.0,0
858,1.0,0
859,2.0,0
860,2.0,0
861,7.0,0
862,1.0,0
863,1.0,0
864,1.0,0
865,6.0,0
866,2.0,0
867,2.0,0
868,2.0,0
869,-2.0,0
870,4.0,0
871,0.0,0
872,2.0,0
873,2.0,0
874,4.0,0
875,4.0,0
