,cfr Return Against random,Order
0,3.0,0
1,4.0,0
2,4.0,0
3,4.0,0
4,-2.0,0
5,5.0,0
6,2.0,0
7,2.0,0
8,4.0,0
9,0.0,0
10,2.0,0
11,4.0,0
12,4.0,0
13,6.0,0
14,2.0,0
15,0.0,0
16,2.0,0
17,2.0,0
18,3.0,0
19,4.0,0
20,2.0,0
21,0.0,0
22,2.0,0
23,4.0,0
24,3.0,0
25,-2.0,0
26,4.0,0
27,1.0,0
28,0.0,0
29,4.0,0
30,4.0,0
31,-2.0,0
32,2.0,0
33,4.0,0
34,2.0,0
35,4.0,0
36,2.0,0
37,0.0,0
38,0.0,0
39,2.0,0
40,-2.0,0
41,2.0,0
42,4.0,0
43,2.0,0
44,2.0,0
45,0.0,0
46,2.0,0
47,0.0,0
48,2.0,0
49,0.0,0
50,6.0,0
51,4.0,0
52,6.0,0
53,2.0,0
54,5.0,0
55,1.0,0
56,0.0,0
57,2.0,0
58,3.0,0
59,3.0,0
60,4.0,0
61,2.0,0
62,0.0,0
63,2.0,0
64,4.0,0
65,0.0,0
66,4.0,0
67,6.0,0
68,5.0,0
69,1.0,0
70,4.0,0
71,2.0,0
72,1.0,0
73,5.0,0
74,1.0,0
75,3.0,0
76,3.0,0
77,4.0,0
78,4.0,0
79,2.0,0
80,2.0,0
81,0.0,0
82,2.0,0
83,0.0,0
84,0.0,0
85,2.0,0
86,4.0,0
87,1.0,0
88,3.0,0
89,0.0,0
90,2.0,0
91,0.0,0
92,2.0,0
93,1.0,0
94,0.0,0
95,2.0,0
96,2.0,0
97,3.0,0
98,6.0,0
99,0.0,0
100,2.0,0
101,2.0,0
102,2.0,0
103,0.0,0
104,0.0,0
105,0.0,0
106,2.0,0
107,-2.0,0
108,0.0,0
109,4.0,0
110,6.0,0
111,4.0,0
112,2.0,0
113,4.0,0
114,2.0,0
115,6.0,0
116,2.0,0
117,0.0,0
118,4.0,0
119,2.0,0
120,4.0,0
121,2.0,0
122,0.0,0
123,6.0,0
124,2.0,0
125,2.0,0
126,1.0,0
127,4.0,0
128,5.0,0
129,2.0,0
130,7.0,0
131,1.0,0
132,4.0,0
133,0.0,0
134,0.0,0
135,6.0,0
136,3.0,0
137,2.0,0
138,2.0,0
139,2.0,0
140,2.0,0
141,6.0,0
142,6.0,0
143,1.0,0
144,2.0,0
145,-2.0,0
146,3.0,0
147,0.0,0
148,4.0,0
149,0.0,0
150,4.0,0
151,2.0,0
152,0.0,0
153,4.0,0
154,1.0,0
155,0.0,0
156,0.0,0
157,2.0,0
158,2.0,0
159,6.0,0
160,4.0,0
161,7.0,0
162,0.0,0
163,2.0,0
164,2.0,0
165,2.0,0
166,2.0,0
167,3.0,0
168,4.0,0
169,6.0,0
170,-2.0,0
171,2.0,0
172,4.0,0
173,0.0,0
174,7.0,0
175,0.0,0
176,0.0,0
177,2.0,0
178,1.0,0
179,-2.0,0
180,2.0,0
181,4.0,0
182,4.0,0
183,0.0,0
184,4.0,0
185,2.0,0
186,3.0,0
187,3.0,0
188,2.0,0
189,0.0,0
190,1.0,0
191,0.0,0
192,-2.0,0
193,2.0,0
194,6.0,0
195,3.0,0
196,1.0,0
197,4.0,0
198,4.0,0
199,7.0,0
200,3.0,0
201,2.0,0
202,0.0,0
203,2.0,0
204,1.0,0
205,0.0,0
206,2.0,0
207,3.0,0
208,1.0,0
209,4.0,0
210,2.0,0
211,2.0,0
212,6.0,0
213,2.0,0
214,2.0,0
215,-2.0,0
216,0.0,0
217,4.0,0
218,4.0,0
219,1.0,0
220,0.0,0
221,2.0,0
222,2.0,0
223,2.0,0
224,2.0,0
225,2.0,0
226,4.0,0
227,0.0,0
228,1.0,0
229,4.0,0
230,7.0,0
231,2.0,0
232,0.0,0
233,3.0,0
234,2.0,0
235,4.0,0
236,2.0,0
237,1.0,0
238,2.0,0
239,2.0,0
240,4.0,0
241,4.0,0
242,4.0,0
243,-2.0,0
244,0.0,0
245,2.0,0
246,4.0,0
247,2.0,0
248,4.0,0
249,0.0,0
250,6.0,0
251,2.0,0
252,0.0,0
253,6.0,0
254,2.0,0
255,2.0,0
256,0.0,0
257,4.0,0
258,1.0,0
259,2.0,0
260,4.0,0
261,1.0,0
262,5.0,0
263,3.0,0
264,4.0,0
265,-2.0,0
266,4.0,0
267,4.0,0
268,3.0,0
269,2.0,0
270,2.0,0
271,3.0,0
272,1.0,0
273,4.0,0
274,6.0,0
275,0.0,0
276,1.0,0
277,0.0,0
278,2.0,0
279,2.0,0
280,1.0,0
281,2.0,0
282,6.0,0
283,2.0,0
284,0.0,0
285,0.0,0
286,4.0,0
287,2.0,0
288,0.0,0
289,0.0,0
290,2.0,0
291,1.0,0
292,5.0,0
293,4.0,0
294,2.0,0
295,2.0,0
296,1.0,0
297,6.0,0
298,5.0,0
299,2.0,0
300,2.0,0
301,2.0,0
302,3.0,0
303,1.0,0
304,0.0,0
305,4.0,0
306,0.0,0
307,4.0,0
308,4.0,0
309,2.0,0
310,2.0,0
311,2.0,0
312,-2.0,0
313,0.0,0
314,0.0,0
315,4.0,0
316,2.0,0
317,0.0,0
318,0.0,0
319,2.0,0
320,0.0,0
321,4.0,0
322,0.0,0
323,2.0,0
324,0.0,0
325,6.0,0
326,0.0,0
327,6.0,0
328,2.0,0
329,3.0,0
330,4.0,0
331,0.0,0
332,3.0,0
333,6.0,0
334,3.0,0
335,1.0,0
336,6.0,0
337,0.0,0
338,6.0,0
339,2.0,0
340,7.0,0
341,2.0,0
342,1.0,0
343,7.0,0
344,2.0,0
345,1.0,0
346,4.0,0
347,2.0,0
348,4.0,0
349,6.0,0
350,5.0,0
351,0.0,0
352,4.0,0
353,4.0,0
354,0.0,0
355,2.0,0
356,3.0,0
357,2.0,0
358,0.0,0
359,4.0,0
360,7.0,0
361,4.0,0
362,1.0,0
363,0.0,0
364,-2.0,0
365,2.0,0
366,2.0,0
367,0.0,0
368,6.0,0
369,0.0,0
370,2.0,0
371,7.0,0
372,3.0,0
373,3.0,0
374,6.0,0
375,4.0,0
376,1.0,0
377,6.0,0
378,6.0,0
379,1.0,0
380,2.0,0
381,2.0,0
382,0.0,0
383,4.0,0
384,2.0,0
385,2.0,0
386,2.0,0
387,7.0,0
388,0.0,0
389,3.0,0
390,-2.0,0
391,0.0,0
392,6.0,0
393,6.0,0
394,2.0,0
395,4.0,0
396,4.0,0
397,2.0,0
398,4.0,0
399,0.0,0
400,0.0,0
401,2.0,0
402,2.0,0
403,2.0,0
404,0.0,0
405,4.0,0
406,0.0,0
407,6.0,0
408,4.0,0
409,2.0,0
410,2.0,0
411,4.0,0
412,2.0,0
413,0.0,0
414,5.0,0
415,2.0,0
416,4.0,0
417,4.0,0
418,3.0,0
419,1.0,0
420,-2.0,0
421,4.0,0
422,2.0,0
423,3.0,0
424,2.0,0
425,0.0,0
426,0.0,0
427,0.0,0
428,4.0,0
429,4.0,0
430,4.0,0
431,2.0,0
432,4.0,0
433,1.0,0
434,0.0,0
