,Iteration,Exploitability
0,50,0.0004335511982569429
1,100,0.00010946094609454171
2,150,4.88103998037559e-05
3,200,2.7501381979044837e-05
4,250,1.761841522807117e-05
5,300,1.2243140150358656e-05
6,350,8.999231221329396e-06
7,400,6.89249099461442e-06
8,450,5.4474282114025385e-06
9,500,4.4133954315572765e-06
10,550,3.648096207120588e-06
11,600,3.0658778578107615e-06
12,650,2.6126800318770904e-06
13,700,2.2530172318901975e-06
14,750,1.9628150120798438e-06
15,800,1.7252739632489522e-06
16,850,1.5283826024781177e-06
17,900,1.363368547835364e-06
18,950,1.2237041955298622e-06
19,1000,1.104451104572135e-06
