,Iteration,Exploitability
0,200,2.7501381979044837e-05
1,400,6.89249099461442e-06
2,600,3.0658778578107615e-06
3,800,1.7252739632489522e-06
4,1000,1.104451104572135e-06
5,1200,7.671076571735824e-07
6,1400,5.636563451538734e-07
7,1600,4.3158789631014827e-07
8,1800,3.410313884621985e-07
9,2000,2.762507635978295e-07
10,2200,2.2831678903045827e-07
11,2400,1.9185678801214578e-07
12,2600,1.6348084397321827e-07
13,2800,1.409643946015393e-07
14,3000,1.227985733098791e-07
15,3200,1.0793068150327656e-07
16,3400,9.560817360032559e-08
17,3600,8.528152339870587e-08
18,3800,7.654187639261067e-08
19,4000,6.907995220295504e-08
20,4200,6.26582987717228e-08
21,4400,5.709216699401054e-08
22,4600,5.223607146831455e-08
23,4800,4.797418751145699e-08
24,5000,4.421337940208048e-08
25,5200,4.0878069151872864e-08
26,5400,3.7906408012489123e-08
27,5600,3.5247390561821135e-08
28,5800,3.285864980107078e-08
29,6000,3.0704759179656094e-08
30,6200,2.8755912540034956e-08
31,6400,2.698688539304328e-08
32,6600,2.5376218459882693e-08
33,6800,2.3905557755554696e-08
34,7000,2.2559135670618957e-08
35,7200,2.1323341536927387e-08
36,7400,2.0186380123021763e-08
37,7600,1.9137986972950216e-08
38,7800,1.8169195037387453e-08
39,8000,1.7272146379809783e-08
40,8200,1.643992786348747e-08
41,8400,1.566643947903401e-08
42,8600,1.4946281989836052e-08
43,8800,1.4274663451274705e-08
44,9000,1.3647317720355545e-08
45,9200,1.3060437176193318e-08
46,9400,1.2510615210459264e-08
47,9600,1.1994795601211194e-08
48,9800,1.1510232544864607e-08
49,10000,1.1054450244074587e-08
50,10200,1.0625212931714145e-08
51,10400,1.0220499779833858e-08
52,10600,9.83847692204165e-09
53,10800,9.477479245845188e-09
54,11000,9.13599218499428e-09
55,11200,8.81263417795708e-09
56,11400,8.506144677511429e-09
57,11600,8.215370606023953e-09
58,11800,7.939254809130603e-09
59,12000,7.676829172353905e-09
60,12200,7.427203296828111e-09
61,12400,7.189557615916442e-09
62,12600,6.963138066140573e-09
63,12800,6.747248537664063e-09
64,13000,6.541245767266446e-09
65,13200,6.344535119495731e-09
66,13400,6.156566367820915e-09
67,13600,5.9768288096506694e-09
68,13800,5.804849045887295e-09
69,14000,5.6401867620792245e-09
70,14200,5.482432285930372e-09
71,14400,5.3312054770771056e-09
72,14600,5.18615039801773e-09
73,14800,5.046935980246303e-09
74,15000,4.9132526935835585e-09
75,15200,4.784811213909279e-09
76,15400,4.661341534983876e-09
77,15600,4.54258985982392e-09
78,15800,4.428319266835956e-09
79,16000,4.3183066011920346e-09
80,16200,4.212343140963526e-09
81,16400,4.110232820764281e-09
82,16600,4.011790455393793e-09
83,16800,3.9168426280156154e-09
84,17000,3.825226579934338e-09
85,17200,3.736787546060327e-09
86,17400,3.651380753311173e-09
87,17600,3.5688687560764265e-09
88,17800,3.4891221023514163e-09
89,18000,3.4120191116926435e-09
90,18200,3.3374436547717323e-09
91,18400,3.2652869297322695e-09
92,18600,3.1954447976545453e-09
93,18800,3.1278202250462073e-09
94,19000,3.0623195090839772e-09
95,19200,2.9988553862381195e-09
96,19400,2.9373434795587627e-09
97,19600,2.8777049632111584e-09
98,19800,2.819864564074237e-09
99,20000,2.7637510058298176e-09
