,Iteration,Exploitability
0,100000,0.005555555555555536
1,200000,0.022222222222222143
2,300000,0.005555555555555536
3,400000,0.0
4,500000,0.022222222222222143
5,600000,0.0
6,700000,0.0
7,800000,0.0
8,900000,0.0
9,1000000,0.0
10,1100000,0.0
11,1200000,0.061111111111111116
12,1300000,0.0
13,1400000,0.0
14,1500000,0.0
15,1600000,0.022222222222222143
16,1700000,0.0
17,1800000,0.0
18,1900000,0.0
19,2000000,0.022222222222222143
20,2100000,0.0
21,2200000,0.0
22,2300000,0.0
23,2400000,0.005555555555555536
24,2500000,0.0
25,2600000,0.0
26,2700000,0.0
27,2800000,0.0
28,2900000,0.0
29,3000000,0.0
